aid,epaReg,prodName,sourcePage,evType,ts
371a5a0abedee8b7bf12e52e7aceace6c39bc5b66c4b2cfba00ede5cc9751323,8033-23-70506,Assail® 70WP Insecticide,H&S,evDownloadLabel,2021-02-02T21:51:55.066Z
cb2533c16a50563707285f8b293111b2a463936773c278f356c5b65913688196,8033-23-70506,Assail® 70WP Insecticide,H&S,evDownloadLabel,2021-02-02T21:52:23.211Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:01.781Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:06.801Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:07.413Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:07.627Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:07.804Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:09.316Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:09.539Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:09.700Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:09.842Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:09.989Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:16.176Z
59bdd61cd653302a52710fd1eaa1c635d920fbca9ecf131677c6428381e5ee5a,85678-58,PARAQUAT 43.2% SL,PICOL,evDownloadLabel,2021-02-02T21:56:18.608Z
5396bcf828cb487b3b3e04ef34e2fb7a1538107652810ac9dca159a08947171c,100-1070,FUSILADE DX HERBICIDE,PICOL,evDownloadLabel,2021-02-03T00:11:19.730Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,62719-591,Lorsban® Advanced,H&S,evDownloadLabel,2021-02-03T01:27:55.727Z
5396bcf828cb487b3b3e04ef34e2fb7a1538107652810ac9dca159a08947171c,100-1070,FUSILADE DX HERBICIDE,PICOL,evDownloadLabel,2021-02-03T02:30:01.520Z
08c4d21ec4caf335321966da5cccb27526f1ce41f4e45bac4ad634bac7cded7e,89046-12-88847,LEPROTEC,PICOL,evDownloadLabel,2021-02-03T19:21:54.852Z
08c4d21ec4caf335321966da5cccb27526f1ce41f4e45bac4ad634bac7cded7e,89046-12-88847,LEPROTEC,PICOL,evDownloadLabel,2021-02-03T19:23:20.806Z
08c4d21ec4caf335321966da5cccb27526f1ce41f4e45bac4ad634bac7cded7e,7969-448,RELY 280 HERBICIDE,PICOL,evDownloadLabel,2021-02-03T19:23:59.845Z
08c4d21ec4caf335321966da5cccb27526f1ce41f4e45bac4ad634bac7cded7e,42750-19-5905,"2,4-D AMINE 4 HERBICIDE",PICOL,evDownloadLabel,2021-02-03T19:25:20.803Z
08c4d21ec4caf335321966da5cccb27526f1ce41f4e45bac4ad634bac7cded7e,83529-27,PARA-SHOT 3.0,PICOL,evDownloadLabel,2021-02-03T19:46:43.274Z
d8542ad465b02de922443f5a422c1f0f6f2884ae4941a5235b9f6fda6b51b02c,66222-176,QUALI-PRO GLYPHOSATE PLUS HERBICIDE,PICOL,evDownloadLabel,2021-02-03T19:47:04.302Z
3233a7091df209984cd55d8c0a7261a3b957460d8b8a56f1b94a43786f0a3a4a,34704-447,Carbaryl 4L,H&S,evDownloadLabel,2021-02-03T19:50:21.434Z
3233a7091df209984cd55d8c0a7261a3b957460d8b8a56f1b94a43786f0a3a4a,34704-447,Carbaryl 4L,H&S,evDownloadLabel,2021-02-03T19:51:59.784Z
